PERIOD,ELAPSED_SECS,ACTIONS
2,1198,Crowder Free Throw 2 of 2 (8 PTS)
2,1216,Johnson REBOUND (Off:4 Def:2)
2,1222,Thomas Lost Ball Turnover (P2.T8)
2,1238,CELTICS Rebound
2,1238,MISS Lee Free Throw 1 of 2
2,1238,CELTICS Rebound
2,1238,Lee Free Throw 2 of 2 (1 PTS)
2,1255,Turner L.B.FOUL (P1.PN) (B.Taylor)
2,1264,Turner REBOUND (Off:0 Def:1)
2,1268,Thomas Free Throw 1 of 2 (8 PTS)
2,1268,Thomas Free Throw 2 of 2 (9 PTS)
2,1287,CELTICS Rebound
2,1302,Lee  Cutting Dunk Shot (3 PTS) (Thomas 4 AST)
2,1323,Crowder REBOUND (Off:1 Def:4)
2,1329,MISS Lee  Cutting Layup Shot
2,1338,Thomas S.FOUL (P1.PN) (K.Fitzgerald)
2,1354,Crowder 21' Jump Shot (10 PTS) (Lee 1 AST)
2,1393,MISS Turner  3PT Jump Shot
2,1404,Crowder S.FOUL (P3.PN) (B.Taylor)
2,1404,SUB: Smart FOR Crowder
2,1404,SUB: Olynyk FOR Johnson
2,1410,Thomas 1' Running Reverse Layup (11 PTS)
2,1438,Thomas 2' Driving Finger Roll Layup (13 PTS)
3,1456,MISS Thomas 25' 3PT Jump Shot
3,1485,MISS Sullinger 17' Jump Shot
3,1486,Johnson L.B.FOUL (P3.T1) (Z.Zarba)
3,1495,Crowder STEAL (1 STL)
3,1507,Crowder 26' 3PT Jump Shot (13 PTS) (Thomas 5 AST)
3,1543,Turner REBOUND (Off:0 Def:2)
3,1553,Crowder Out of Bounds - Bad Pass Turnover Turnover (P1.T9)
3,1564,Sullinger FLAGRANT.FOUL.TYPE1 (P3.T2) (Z.Zarba)
3,1575,Crowder STEAL (2 STL)
3,1588,Sullinger Out of Bounds - Bad Pass Turnover Turnover (P4.T10)
3,1623,MISS Thomas  3PT Jump Shot
3,1647,Johnson REBOUND (Off:4 Def:3)
3,1664,Sullinger Lost Ball Turnover (P5.T11)
3,1671,Turner P.FOUL (P2.T3) (B.Taylor)
3,1683,Turner REBOUND (Off:0 Def:3)
3,1695,MISS Thomas 10' Jump Shot
3,1727,MISS Turner 12' Turnaround Fadeaway Shot
3,1740,CELTICS Timeout: Regular (Full 3 Short 1)
3,1740,SUB: Lee FOR Johnson
3,1740,SUB: Olynyk FOR Sullinger
3,1752,MISS Crowder 25' 3PT Jump Shot
3,1769,Olynyk REBOUND (Off:0 Def:3)
3,1775,Thomas  Running Finger Roll Layup (15 PTS)
3,1801,Crowder S.FOUL (P4.T4) (K.Fitzgerald)
3,1801,SUB: Smart FOR Crowder
3,1820,MISS Turner 18' Jump Shot
3,1821,Smart REBOUND (Off:2 Def:0)
